cama,cama
coche,coche
dedo,dedo
brazo,brazo
crema,crema
fruta,fruta
plato,plato
babero,babero
papaya,papaya
camisa,camisa
brocoli,brocoli
croqueta,croqueta
platano,platano
frutero,frutero
cama,cama
coche,coche
dedo,dedo
brazo,brazo
crema,crema
fruta,fruta
plato,plato
babero,babero
papaya,papaya
camisa,camisa
brocoli,brocoli
croqueta,croqueta
platano,platano
frutero,frutero
cama,cama
coche,coche
dedo,dedo
brazo,brazo
crema,crema
fruta,fruta
plato,plato
babero,babero
papaya,papaya
camisa,camisa
brocoli,brocoli
croqueta,croqueta
platano,platano
frutero,frutero
cama,cama
coche,coche
dedo,dedo
brazo,brazo
crema,crema
fruta,fruta
plato,plato
babero,babero
papaya,papaya
camisa,camisa
brocoli,brocoli
croqueta,croqueta
platano,platano
frutero,frutero
cama,cama
coche,coche
dedo,dedo
brazo,brazo
crema,crema
fruta,fruta
plato,plato
babero,babero
papaya,papaya
camisa,camisa
brocoli,brocoli
croqueta,croqueta
platano,platano
frutero,frutero
cama,cama
coche,coche
dedo,dedo
brazo,brazo
crema,crema
fruta,fruta
plato,plato
babero,babero
papaya,papaya
camisa,camisa
brocoli,brocoli
croqueta,croqueta
platano,platano
frutero,frutero
gato,gato
mano,mano
mesa,mesa
pato,pato
vaca,vaca
mosca,mosca
colcha,colcha
parque,parque
torta,torta
galleta,galleta
juguete,juguete
mamila,mamila
musica,musica
pelota,pelota
fabrica,fabrica
pescado,pescado
ventana,ventana
tortilla,tortilla
gato,gato
mano,mano
mesa,mesa
pato,pato
vaca,vaca
mosca,mosca
colcha,colcha
parque,parque
torta,torta
galleta,galleta
juguete,juguete
mamila,mamila
musica,musica
pelota,pelota
fabrica,fabrica
pescado,pescado
ventana,ventana
tortilla,tortilla
gato,gato
mano,mano
mesa,mesa
pato,pato
vaca,vaca
mosca,mosca
colcha,colcha
parque,parque
torta,torta
galleta,galleta
juguete,juguete
mamila,mamila
musica,musica
pelota,pelota
fabrica,fabrica
pescado,pescado
ventana,ventana
tortilla,tortilla
gato,gato
mano,mano
mesa,mesa
pato,pato
vaca,vaca
mosca,mosca
colcha,colcha
parque,parque
torta,torta
galleta,galleta
juguete,juguete
mamila,mamila
musica,musica
pelota,pelota
fabrica,fabrica
pescado,pescado
ventana,ventana
tortilla,tortilla
gato,gato
mano,mano
mesa,mesa
pato,pato
vaca,vaca
mosca,mosca
colcha,colcha
parque,parque
torta,torta
galleta,galleta
juguete,juguete
mamila,mamila
musica,musica
pelota,pelota
fabrica,fabrica
pescado,pescado
ventana,ventana
tortilla,tortilla
gato,gato
mano,mano
mesa,mesa
pato,pato
vaca,vaca
mosca,mosca
colcha,colcha
parque,parque
torta,torta
galleta,galleta
juguete,juguete
mamila,mamila
musica,musica
pelota,pelota
fabrica,fabrica
pescado,pescado
ventana,ventana
tortilla,tortilla
